shortcode,date_utc,typename,likes,comments,url,owner_username,videos,video_url
DQ8bUaPAWSl,2025-11-12T05:10:00,GraphSidecar,-1,10,https://www.instagram.com/p/DQ8bUaPAWSl/,youngurbanproject,False,
DQ7qGDdDZ0R,2025-11-11T22:00:00,GraphVideo,4626,64,https://www.instagram.com/p/DQ7qGDdDZ0R/,ryanleak,True,https://instagram.fhex4-1.fna.fbcdn.net/o1/v/t2/f2/m86/AQOXdwt02gKsPUoPw7rCwHJlTgBpoCApanrGJ2jJkEdMvSHJ8TbpmY5o2gIyNEXQRdfERGLZbBDara0SsSuXee58vxOn3rhFdD4IaMs.mp4?_nc_cat=104&_nc_oc=AdnxLe9uku_u1ixq_Pjrkx--93kUgoocT-Bq9tIhkRx6qJPLGBAq4v1Knhq_rTfq8CI&_nc_sid=5e9851&_nc_ht=instagram.fhex4-1.fna.fbcdn.net&_nc_ohc=tP1jrlhwFf0Q7kNvwH_jyZE&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MTUyNjQwNDk3ODU3ODQwNiwiYXNzZXRfYWdlX2RheXMiOjYsInZpX3VzZWNhc2VfaWQiOjEwMDk5LCJkdXJhdGlvbl9zIjoxMTgsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=RItcBrmsJG8GbP6nPpBOQA&_nc_zt=28&vs=e5d7890630e95045&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC84NzQwODdGNzJBNTVGMTA2ODZCNUYzOEJGQjE1NDI4Rl92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HTWNZWkNMdV92b1RHd01EQUNSMzdDb1EzcjFsYnN0VEFRQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmzM_AqLuQtgUVAigCQzMsF0BdmAAAAAAAGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHX-B2XmnQEA&oh=00_AfhYMdunGyn5eV_RpJdouJd4sTio08wZomJAAqdQD5R5_Q&oe=6917CAC9
DQ0vimyCCZU,2025-11-09T05:33:53,GraphVideo,5133,22,https://www.instagram.com/p/DQ0vimyCCZU/,lancebachmann,True,https://instagram.fhex4-1.fna.fbcdn.net/o1/v/t2/f2/m86/AQO2FPZHhRL3Ru-FZOE0Sai9YnrObxo4S5DllDJ6i5ZlkTQ9dxL8Uav4sAs9bPKnMizZ24U5HyskHoab6ch_KSoPBu2JXZ8Qr2AiA70.mp4?_nc_cat=101&_nc_oc=AdnbXW4CExVi17nZRjrKhStxzhDCVOP0nqvIyvY6xk5AIBqk-AHysbVNfiJHzRNE4x4&_nc_sid=5e9851&_nc_ht=instagram.fhex4-1.fna.fbcdn.net&_nc_ohc=v6jH2duKdHUQ7kNvwEqpkn9&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6ODI3NDk5NTczMzEwNTI5LCJhc3NldF9hZ2VfZGF5cyI6NCwidmlfdXNlY2FzZV9pZCI6MTAwOTksImR1cmF0aW9uX3MiOjQzLCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&_nc_gid=h6XpoTnhsr5M_fQI-bCNXw&_nc_zt=28&vs=96b8ba7f3aae2411&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC8xMjQ4M0ZERDZGNUU2N0M4N0M3MjBDMzYwMjkyQkVCNV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HSFB5ZENMOGZ1YUZiaVFFQUl1b0NSX1VUQUJ5YnN0VEFRQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmgtHzoeim-AIVAigCQzMsF0BFogxJul41GBJkYXNoX2Jhc2VsaW5lXzFfdjERAHX-B2XmnQEA&oh=00_AfjkhNYhxi8nAq-6dqTSb5ZKqYhs6JvOP0PIucQ_o3WNEw&oe=6917D46A
DQ0NT3jiZxC,2025-11-09T00:35:14,GraphVideo,60126,296,https://www.instagram.com/p/DQ0NT3jiZxC/,whereismas,True,https://instagram.fhex4-1.fna.fbcdn.net/o1/v/t2/f2/m86/AQNAyLwMVCx692vBXo9LOPek_cRg9x6Lp48R8Y9rjwPGleqJ6jXi9HIf3XKMyT-oAFNMlxlwnsOjYdraf_duI3IUQvB_bLDa-cJQ22k.mp4?_nc_cat=102&_nc_oc=AdlQs_VhWH2Gj62kdO7mxutsUKY5LzzhbUdAz2uPvOwSfuKkzV3M7UGKw01e3ORdVZQ&_nc_sid=5e9851&_nc_ht=instagram.fhex4-1.fna.fbcdn.net&_nc_ohc=09a3djBZgT0Q7kNvwG_r9lL&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MjUxMjY4MTMzODAyNzExMTAsImFzc2V0X2FnZV9kYXlzIjo0LCJ2aV91c2VjYXNlX2lkIjoxMDA5OSwiZHVyYXRpb25fcyI6MTksInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=w61vlSL-5ZtEaUhQGqRj7g&_nc_zt=28&vs=cd7ba7d11bddc457&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC8wMjQ2RDQ3NjJCQUNGMDFDRTMwQzI1MzU0OTBGRjBBRF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HTGJpZ1NJd25xOFZvVTRFQUhLMTBQSHVXU29UYnN0VEFRQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmjPDynYStolkVAigCQzMsF0AzRN0vGp--GBJkYXNoX2Jhc2VsaW5lXzFfdjERAHX-B2XmnQEA&oh=00_Afi2XqxIymzqfx-6Spj-0bzj4Vn1jsilDeg6K3HPS6Bz6w&oe=6917CC6F
DQ1n8UaEpim,2025-11-09T13:45:31,GraphSidecar,202,27,https://www.instagram.com/p/DQ1n8UaEpim/,godofprompt,False,
DQ0FHBMD9Rw,2025-11-08T23:24:29,GraphVideo,52397,272,https://www.instagram.com/p/DQ0FHBMD9Rw/,galikasher_,True,https://instagram.fhex4-2.fna.fbcdn.net/o1/v/t2/f2/m86/AQNDIwTdjH1SX_IMgpjBl5jVhbRfXX0cAxOsT_C2OJ5G45147W1bm1Edco7khCkQZ0jQucfOYIU1KCu9msusrLUV5GFsXbhl9JAcnjg.mp4?_nc_cat=111&_nc_oc=AdmWQaX1JriiAeTF52lKHnw_REzSTsCmoW-LjQa8LmL4HX3mYs4RCUbtPpnc_PVQEQU&_nc_sid=5e9851&_nc_ht=instagram.fhex4-2.fna.fbcdn.net&_nc_ohc=LDREum6K8WkQ7kNvwGXI1lP&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MTAyNDAyOTM3NjUyMTE3OCwiYXNzZXRfYWdlX2RheXMiOjQsInZpX3VzZWNhc2VfaWQiOjEwMDk5LCJkdXJhdGlvbl9zIjoyMiwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&_nc_gid=_vnWS6u8-ANkDJX7E35L_A&_nc_zt=28&vs=4753fa592404be30&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC8wMjRCN0QzMDhBOTNGRjE5MEFFMDJBNjVGMUYxMDk4OV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HSldwY0NJcTZMa0JfUUlFQUdaX0hpUkJMQVV3YnN0VEFRQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmtI_Rs63W0QMVAigCQzMsF0A2IgxJul41GBJkYXNoX2Jhc2VsaW5lXzFfdjERAHX-B2XmnQEA&oh=00_AfjyqMEF6K3iu13YdBtbcIeNcKLSxkjhWL6rRqLZqYLF0w&oe=6917D9A8
DQ0r2q5DOTw,2025-11-09T05:00:00,GraphVideo,14833,293,https://www.instagram.com/p/DQ0r2q5DOTw/,dgmindset,True,https://instagram.fhex4-2.fna.fbcdn.net/o1/v/t2/f2/m86/AQM6DieURFu2RTVhuMl_nS4JIj3xkWejiomkT1wq4QoLtpl3mDMgEnmQk2ERKUaDvsuPvIvhgQeRmOkdm4Ng69-5h99hjdg5jiadXMc.mp4?_nc_cat=111&_nc_oc=AdnWwYRQ1cv7FE4Z5yLeNDd8TgcB9rOrE7l6Z0ZJgi7yrK1pp_bsiXaOIPuHvZOhDCs&_nc_sid=5e9851&_nc_ht=instagram.fhex4-2.fna.fbcdn.net&_nc_ohc=Vd9EzGx2_fcQ7kNvwFIlMjf&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6ODA0MTEyOTUyNDc3OTA0LCJhc3NldF9hZ2VfZGF5cyI6NCwidmlfdXNlY2FzZV9pZCI6MTAwOTksImR1cmF0aW9uX3MiOjk0LCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&vs=edbdb7237465a757&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC85NTQ0NzkxMDI5OTBFRDQ4RjkzMDkwMjlFNDU0N0Y4Nl92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HTHZHakNLTkJlWHpFWklGQUZNUVhYZEQ5NTVLYnN0VEFRQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmoKOirsTV7QIVAigCQzMsF0BXlU_fO2RaGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHX-B2XmnQEA&_nc_gid=FKQQPyYL2jH2i4ghPcqDyw&_nc_zt=28&oh=00_AfgHl4SIN74choEdbgk8hBAHVA2jM9LI1rlImFO9x5r6PQ&oe=6917C3FC
DQzw5EvjNmT,2025-11-08T20:27:28,GraphVideo,1216,9,https://www.instagram.com/p/DQzw5EvjNmT/,biz.insider,True,https://instagram.fhex4-2.fna.fbcdn.net/o1/v/t2/f2/m86/AQOE6ymZjnnyQUI6VF-z26KpOGRfeEpsqd1ZiRa7hBufwQaSIeNZ_2vYV_JN4UdZiVdIp-OcdOfrZjaCBfPi6dNqUZ2A4AFicOrX0Mw.mp4?_nc_cat=110&_nc_oc=Adlt7RsRhzK3maWuA4kAczK4qdmsW93pE0BrEwjPqtmMxTX6pNoOWHVamA6OVXxCgMA&_nc_sid=5e9851&_nc_ht=instagram.fhex4-2.fna.fbcdn.net&_nc_ohc=7MWT7lMqGgwQ7kNvwGCVhJ4&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MTU2MjQzMjI4ODI2MDM2OSwiYXNzZXRfYWdlX2RheXMiOjQsInZpX3VzZWNhc2VfaWQiOjEwMDk5LCJkdXJhdGlvbl9zIjo0OCwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&_nc_gid=q5-7eZOnkyRxkg0YbhDeUQ&_nc_zt=28&vs=53bfbeba9e4dfce7&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC85RTQ3MTQzN0Y5MUYyMThDNEU4NTcxNjg4NDk2OEU4OV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HTkpuYlNLcV9qREFCMVVGQUQ4a010WEtVZXRJYnN0VEFRQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmooS42MPBxgUVAigCQzMsF0BIVT987ZFoGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHX-B2XmnQEA&oh=00_Afgo9qNOzhRrwnLWYcNKb0mIOop6A-gqF8IY3LRfe_ls4A&oe=6917E6FF
DQ1dwX5iXaD,2025-11-09T12:16:46,GraphSidecar,1467,47,https://www.instagram.com/p/DQ1dwX5iXaD/,nicolasboucherfinance,False,
DQj53dYCPKM,2025-11-02T16:36:04,GraphSidecar,404,137,https://www.instagram.com/p/DQj53dYCPKM/,chrisdonnellyofficial,False,
DQOi8ObiCCQ,2025-10-25T09:31:41,GraphSidecar,1534,109,https://www.instagram.com/p/DQOi8ObiCCQ/,chrisdonnellyofficial,False,
DQzJb4ciLYd,2025-11-08T14:40:43,GraphSidecar,6870,87,https://www.instagram.com/p/DQzJb4ciLYd/,chrisdonnellyofficial,False,
DQWsqz1jX9Q,2025-10-28T13:30:00,GraphVideo,48350,399,https://www.instagram.com/p/DQWsqz1jX9Q/,quinlanwalther,True,https://instagram.fhex4-1.fna.fbcdn.net/o1/v/t2/f2/m86/AQOsYDaqAz8jb27byjCobo6SGKWkLSQoiwihBbzC1_0O0lMcWFC6f7-USTuBWW-FIgcK8t88bNoElay4VLvfiY7PMw-DdZdZt6zJuIY.mp4?_nc_cat=106&_nc_oc=AdmWDTsg1WKbmpNZp67kK4mjSXh5hcHWA_arx9S_KdWDg-DvHRm3rfV_yy0NEWEfrLk&_nc_sid=5e9851&_nc_ht=instagram.fhex4-1.fna.fbcdn.net&_nc_ohc=_N44c-lm_kUQ7kNvwEK4IGT&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6ODU0ODI5NzgzNjM1OTAyLCJhc3NldF9hZ2VfZGF5cyI6MTYsInZpX3VzZWNhc2VfaWQiOjEwMDk5LCJkdXJhdGlvbl9zIjo0NiwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=e179f4b665c9363&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC82QjQ5MTdDQ0MwRjE5REMwRkY2REQ0QThDQzg1Njk4RV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HRnctOGlIWmVXeEd5SEFDQU5XcEQyUDg5QlEzYnN0VEFRQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAm_N7GmdLdhAMVAigCQzMsF0BHYgxJul41GBJkYXNoX2Jhc2VsaW5lXzFfdjERAHX-B2XmnQEA&_nc_gid=FJMqw2tVXfrXV6TFVrqVVA&_nc_zt=28&oh=00_AfgvuQGID2lkQBZzxdhoXkCv-cQmyncKV63hcfWMVaFWvA&oe=6917DE07
DPlfdIZCLtt,2025-10-09T10:53:36,GraphVideo,17136,74,https://www.instagram.com/p/DPlfdIZCLtt/,theleadershipchannel,True,https://instagram.fhex4-1.fna.fbcdn.net/o1/v/t2/f2/m86/AQOERJ8trEEze65KOcdrIKu60mQr0KcOttGfNkkygxNiuWkhkELQEt8tpzx7AXwggRgQJczk1v4Dt77FKX7oyT3TsAQXnM1A_f9lEzI.mp4?_nc_cat=105&_nc_oc=AdmOjkHbmTC8Uf6XD3XTGKImFqyKXjy6pytuNrp8CNFM0_7GdHJx14CJQgCKSZZ2sxE&_nc_sid=5e9851&_nc_ht=instagram.fhex4-1.fna.fbcdn.net&_nc_ohc=7phtdyqVt-sQ7kNvwGNxHXS&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MTUwMjU3NzYxMDc5ODQ1NCwiYXNzZXRfYWdlX2RheXMiOjM1LCJ2aV91c2VjYXNlX2lkIjoxMDA5OSwiZHVyYXRpb25fcyI6NTIsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=21950f3f526ca0a4&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC8yMjQxQ0NFRTUwMTMzOUVFNjYwMTQ4MzM3NkQwMDRBMl92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HQ3pXaWlHLUZubkczaU1IQUVhLTc1UktiTE4xYnN0VEFRQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAm7NXpy8OlqwUVAigCQzMsF0BKQAAAAAAAGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHX-B2XmnQEA&_nc_gid=KRm7fTnYutu86xP-jP2SUA&_nc_zt=28&oh=00_AfiD6XIt5WRc9BzkEV8SSsbn6LKkAydaw-XdtQZYRNFbZA&oe=6917DDCE
